Year,Period,labor force,employment,unemployment,unemployment rate
2014,Oct,1082966,1033287,49679,4.6
2014,Nov,1080844,1031170,49674,4.6
2014,Dec,1069102,1022870,46232,4.3
2015,Jan,1061553,1002663,58890,5.5
2015,Feb,1059757,1007641,52116,4.9
2015,Mar,1070875,1019690,51185,4.8
2015,Apr,1076766,1032749,44017,4.1
2015,May,1088716,1041413,47303,4.3
2015,Jun,1092388,1042262,50126,4.6
2015,Jul,1095979,1046010,49969,4.6
2015,Aug,1086118,1043499,42619,3.9
2015,Sep,1074168,1032107,42061,3.9
2015,Oct,1077638,1036207,41431,3.8
2015,Nov,1077062,1032233,44829,4.2
2015,Dec,1071770,1026072,45698,4.3
