month,rsales,totpersinc,emplnonfarm,CPI,unempl,mortgrate,conscredit,govspend,houshfinasset
5-Sep,310847,10633.3,134237,198.8,7553,5.67,57797,2297131.736,41747155.3
5-Oct,311429,10688.2,134321,199.1,7453,6,58735.37321,2313389.079,42027307.63
5-Nov,313605,10739.3,134655,198.1,7566,6.18,59490.687,2329763.882,42372980.71
5-Dec,314264,10795,134813,198.1,7279,6.12,59583,2346078.209,42921961.2
6-Jan,323708,10961.6,135094,199.3,7064,6,58636.18588,2362414.857,43715096.81
6-Feb,320678,11031.7,135411,199.4,7184,6.14,57258.09121,2377566.024,44460962.18
6-Mar,321762,11086.7,135698,199.7,7072,6.23,55752.99999,2392154.001,45055552.79
6-Apr,324338,11161.3,135880,200.7,7120,6.41,54765.19744,2406490.132,45220952.08
6-May,321980,11191.1,135891,201.3,6980,6.54,54087.24101,2419878.464,45129091.58
6-Jun,322577,11259.6,135971,201.8,7001,6.65,53474,2432152.018,45026893.61
6-Jul,325266,11286.5,136173,202.9,7175,6.64,52730.70517,2443133.363,45115067.13
6-Aug,325848,11338,136358,203.8,7091,6.41,52306.31295,2452989.524,45435596.55
6-Sep,324060,11386.2,136514,202.8,6847,6.25,52743,2461598.131,45960628.2
6-Oct,323038,11435.2,136506,201.9,6727,6.26,54354.77699,2469334.352,46693134.39
6-Nov,323618,11488.7,136711,202,6872,6.12,56278.23596,2476419.781,47460453.66
6-Dec,329004,11590.3,136891,203.1,6762,6.05,57585.99999,2483061.707,48158660.79
7-Jan,328042,11640.7,137094,203.38,7100,6.15,57468.54334,2489581.486,48651930.37
7-Feb,329179,11713.8,137182,204.24,6900,6.17,56634.33418,2495770.295,48990908
7-Mar,331923,11788.2,137400,205.25,6721,6.05,55776.99999,2502144.844,49371838.9
7-Apr,330526,11815.8,137479,206.01,6836,6.15,55661.61864,2509129.43,49831245.2
7-May,335001,11843,137620,206.81,6766,6.2,56053.54393,2516732.172,50331878.54
7-Jun,331630,11858.1,137687,207.16,6980,6.6,56483,2525158.46,50737205.5
7-Jul,332663,11906.9,137638,207.66,7149,6.62,56649.50097,2534628.111,50992681.43
7-Aug,334116,11931.9,137612,207.69,7085,6.44,56736.1917,2545483.013,51107622.31
7-Sep,338375,12024.5,137681,208.47,7191,6.26,57059,2557489.383,51134097.5
7-Oct,337100,12065.1,137772,209.16,7272,6.18,57807.0598,2570934.649,51103103.98
7-Nov,340786,12132,137899,210.81,7261,6.06,58504.57239,2585913.394,50964679.5
7-Dec,338755,12227.2,137983,211.42,7664,6,58602,2602553.905,50634999.6
8-Jan,338980,12346.2,137996,212.18,7653,5.6,57691.41467,2621270.41,50082382.61
8-Feb,335238,12415.1,137913,212.68,7441,5.7,56404.72522,2641216.75,49483477.16
8-Mar,336272,12485.5,137841,213.46,7781,5.81,55299.00002,2663105.1,48925038.19
8-Apr,337817,12456.6,137656,214.12,7606,5.8,55014.67058,2687419.055,48581825.16
8-May,338765,12636.6,137423,215.3,8398,5.76,55249.78822,2713950.127,48348502.11
